"","worker","status","duration","condition","setup","seed","consistency","consistency.other","decision","extra.feedback","judge.bad","judge.bad.other","judge.good","judge.good.other","motives","motives.other","opt.balanced","opt.nobad","opt.nogood","opt.obvious","opt.stakes","out.bad","out.broken","out.expected","out.fair","out.good","out.happy","out.regret","out.sense","out.trick","out.unexpected","out.unfair","best.option","decision.case","popular.option","was.obvious","judge.bad.c.avatar","judge.bad.c.interesting","judge.bad.c.no.control","judge.bad.c.value.clash","judge.bad.c.power","judge.bad.c.progress","judge.bad.c.other","judge.good.c.interesting","judge.good.c.role","judge.good.c.avatar","judge.good.c.power","judge.good.c.progress","judge.good.c.other","motives.c.curious","motives.c.avatar","motives.c.interesting","motives.c.other","motives.c.power","motives.c.role","motives.c.speed"
"1","197","Approved",808,"expected_success","threatened_innocents","82994","no-exp","{}",2,"I thought this was interesting and I feel like I made the right choice.","avatar|interesting|no-control|value-clash|power","{}","interesting|role","{}","curious|avatar|interesting","{}","1","3","2","4","4","1","1","4","5","4","4","2","5","1","1","4",NA,"main","2",NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2","187","Approved",1505,"expected_success","threatened_innocents","82994","variable","{}",2,"{}","avatar|interesting|no-control|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","avatar","{}","1","1","1","4","2","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","18","Approved",2783,"expected_success","threatened_innocents","82994","variable","{}",2,"That was fun, thank you so much!","avatar|interesting|power|progress","{}","role|power|progress","{}","avatar|interesting","{}","2","4","1","4","4","1","1","5","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"4","109","Approved",355,"expected_success","threatened_innocents","82994","no-exp","{}",2,"{}","avatar|no-control|progress","{}","avatar|progress","{}","curious|other","In my own life, I wouldn't be likely to try to negotiate and reward a person for doing something bad.","2","3","2","3","3","1","1","4","5","5","5","1","5","1","2","1",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"5","11","Approved",918,"expected_success","threatened_innocents","82994","consistent","{}",2,"{}","avatar","{}","role","{}","avatar","{}","5","5","1","5","5","1","1","5","5","5","5","2","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","156","Approved",1730,"expected_success","threatened_innocents","82994","variable","{}",2,"{}","value-clash|progress","{}","power","{}","avatar|power","{}","1","1","1","5","1","1","1","5","5","5","5","1","5","1","1","1",NA,"main","2",NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","54","Approved",373,"expected_success","threatened_innocents","82994","variable","{}",3,"{}","interesting|power|progress","{}","role","{}","role|avatar","{}","4","2","1","4","2","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"9","79","Approved",464,"expected_success","threatened_innocents","82994","variable","{}",3,"Very interesting and fun to mentally role play. I wish more surveys were like this.","avatar|value-clash","{}","avatar|interesting|role|power|progress","{}","role|avatar|power","{}","2","1","2","2","2","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"14","180","Approved",437,"expected_success","threatened_innocents","82994","consistent","{}",3,"{}","avatar|no-control","{}","avatar|role","{}","avatar","{}","4","5","1","5","5","1","1","5","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","123","Approved",1830,"expected_success","threatened_innocents","82994","variable","{}",2,"{}","avatar","{}","avatar","{}","power","{}","4","4","4","2","2","1","1","4","5","5","5","1","4","1","2","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
